一级类目	二级类目	供货价	佣金	楚币	支付金额	毛利额	毛利率
女士内衣/男士内衣/家居服	保暖内衣	0.0	1011.4499999999996	287.23	3084.280000000003	202.99801499999995	0.060209821415330156
女士内衣/男士内衣/家居服	内裤	0.0	3736.869999999995	688.33	11841.869999999984	749.9898089999989	0.05985457606422881
女士内衣/男士内衣/家居服	吊带/背心/T恤	0.0	122.67	5.0	403.9	24.619868999999998	0.06021
女士内衣/男士内衣/家居服	塑身内衣	0.0	8184.54	1100.33	26181.47	1642.6371779999845	0.060209999999999424
女士内衣/男士内衣/家居服	文胸	0.0	5190.190000000025	716.64	16593.959999999915	1041.6711330000041	0.06017533378392484
女士内衣/男士内衣/家居服	文胸套装	0.0	35.94	10.0	109.80000000000001	7.213157999999999	0.060209999999999986
女士内衣/男士内衣/家居服	睡衣/家居服	0.0	318.4	57.33	1033.67	63.902879999999996	0.058572758936755266
女士内衣/男士内衣/家居服	袜子	0.0	455.13	67.91	1449.1899999999996	91.34459099999998	0.06021
女装	T恤	0.0	2228.470000000002	428.7128526970954	7038.209999999983	447.2539289999995	0.0598980246378801
女装	其他外套	0.0	23.8	0.0	119.0	4.77666	0.040139999999999995
女装	半身裙	0.0	20.7	0.0	69.0	4.15449	0.06021
女装	卫衣/绒衫	0.0	120.76	10.62	425.18	24.236532	0.055613887104176224
女装	棉衣/棉服	0.0	121.80000000000001	2.0	528.0	24.445259999999998	0.046123132075471696
女装	毛衣/毛针织衫	0.0	2347.500000000001	276.4	7600.6	471.1432499999993	0.05981252380347839
女装	羽绒服	0.0	178.2	45.0	549.0	35.764739999999996	0.06020999999999999
女装	衬衫	0.0	541.8	13.0	1793.0	108.73925999999999	0.06020999999999999
女装	裤子	0.0	1652.5600000000004	292.17714730290453	5777.32	331.66879199999994	0.054645184592826315
女装	连衣裙	0.0	255.9	12.24	840.76	51.35913	0.06021
家居百货	五金/工具	22.0	17.55	0.0	39.9	3.872284999999998	0.09704974937343354
家居百货	住宅家具	17.9	63.07999999999999	85.0	161.0	12.700156	0.05162665040650406
家居百货	厨房/烹饪用具	15904.800000000001	3803.6600000000253	1120.66	20026.259999999947	2180.2545620000046	0.10310033621917565
家居百货	图书/音乐	0.0	148.5	25.0	272.0	29.80395	0.10035
家居百货	家庭/个人清洁工具	2653.6900000000005	1539.4700000000003	413.46000000000004	3976.7400000000007	428.221629	0.09754034645346452
家居百货	居家布艺	0.0	21.9	30.0	79.5	4.3953299999999995	0.040139999999999995
家居百货	居家日用	542.3	267.84	65.46	790.2399999999998	99.31548799999999	0.11606344279537222
